cleaned_category,score
Gainax,6.729866666666667
APPP,6.728421052631579
CoMix Wave Films,6.722
Beijing Rocen Digital,6.72
XEBEC M2,6.716666666666667
feel.,6.716231884057971
Studio Flad,6.715
CLAP,6.71
Meruhensha,6.71
Nishiki Studio,6.71
Panmedia,6.71
Thundray,6.71
Mimoid,6.706666666666667
Shirogumi,6.705555555555556
Studio Colorido,6.702727272727273
Sparky Animation,6.7
Big Wing,6.699999999999999
Sola Digital Arts,6.698
Office Take Off,6.6979999999999995
Bibury Animation Studios,6.69
Cafe de Jeilhouse,6.6899999999999995
TriF Studio,6.6875
Studio Moriken,6.686
Soyep,6.6850000000000005
asread.,6.681666666666667
GEEK TOYS,6.68
Kitty Films,6.68
Studio Palette,6.68
Amarcord,6.67
Studio Prokion,6.67
Yamato Works,6.67
Tryforce,6.666666666666667
A.C.G.T.,6.665357142857143
Rockwell Eyes,6.664999999999999
AIC Takarazuka,6.66
Planet,6.66
Triangle Staff,6.66
Rabbit Machine,6.654999999999999
Nomad,6.65
Studio M2,6.6499999999999995
Barnum Studio,6.648333333333333
Sunrise Beyond,6.648333333333333
Group TAC,6.645820895522388
Anpro,6.6433333333333335
AIC Spirits,6.6431249999999995
OLM,6.640576923076923
2:10 AM Animation,6.638
Studio Hibari,6.63225
Jumondo,6.63
Kaeruotoko Shokai,6.63
Office DCI,6.63
Sanrio,6.63
Studio Shelter,6.63
Tele-Cartoon Japan,6.63
Rabbit Gate,6.6290000000000004
Visual 80,6.628333333333334
Studio G-1Neo,6.6275
Revoroot,6.6274999999999995
Trans Arts,6.626666666666667
Pink Cat,6.62
Tamura Shigeru Studio,6.62
Tezuka Productions,6.614716981132076
ENGI,6.609999999999999
Yumeta Company,6.606969696969697
Studio Eromatick,6.602592592592592
Beat Frog,6.6
Heewon Entertainment,6.6
Maro Studio,6.6
NHK Enterprises,6.6
"""Steve N Steven""",6.595
Fanworks,6.594347826086956
D & D Pictures,6.59
Tecarat,6.59
Flavors Soft,6.587777777777778
Office Takeout,6.5825
Studio 1st,6.582051282051282
Kamikaze Douga,6.581578947368421
Seven Arcs Pictures,6.574545454545454
Peak Hunt,6.573571428571428
A-Line,6.57
I was a Ballerina,6.57
Studio Gram,6.57
LX Animation Studio,6.5600000000000005
Studio Ponoc,6.56
Acca effe,6.556666666666667
Giga Production,6.556666666666667
Bridge,6.5515
DAX Production,6.55
East Fish Studio,6.55
Egg,6.55
Nostalook,6.55
Square Enix Visual Works,6.55
Twilight Town,6.55
iDRAGONS Creative Studio,6.55
Nihon Ad Systems,6.545
FILMONY,6.5425
Mushi Production,6.541111111111111
CGCG Studio,6.54
Maho Film,6.54
PoRO,6.539454545454546
Executive Decision,6.535
Emon,6.53
Scooter Films,6.525
Wawayu Animation,6.524444444444445
C2C,6.524
Tear Studio,6.524
Studio Animal,6.5225
Lesprit,6.522307692307693
Yokohama Animation Lab,6.52125
KIZAWA Studio,6.52
Kazami Gakuen Koushiki Douga-bu,6.52
Studio Arch Inc.,6.52
Studio PuYUKAI,6.518571428571429
BUILD DREAM,6.51
Oxybot,6.51
Studio Meditation With a Pencil,6.51
SELFISH,6.508181818181818
Topcraft,6.508
Tsuchida Productions,6.5075
Circle Tribute,6.505
Zexcs,6.5045714285714284
Zero-G,6.503181818181818
Signal.MD,6.502173913043478
Arcs Create,6.5
Twilight Studio,6.5
AtelierPontdarc,6.495
Production Reed,6.493818181818182
Studio Flag,6.493333333333333
Ark,6.49
Taikong Works,6.49
Robot Communications,6.4875
Anima,6.486666666666666
Studio DURIAN,6.485
AIC,6.484193548387097
Kami Kukan,6.48
Kazuki Production,6.48
NHK,6.48
PERIMETRON,6.48
Tama Production,6.48
