cleaned_category,score
Hakoniwa Academy Student Council,7.220000000000001
Hiroshima Television,7.2175
Asatsu DK,7.217368421052631
FILMONY,7.211666666666667
Studio Flag,7.21
Studio Hibari,7.207142857142857
Tencent Penguin Pictures,7.20609756097561
Shounen Gahousha,7.2057142857142855
Tokuma Shoten,7.2047058823529415
Polygram Japan,7.203333333333333
Kanetsu Investment,7.203125
Mag Garden,7.201764705882353
Comic Umenohone,7.2
ELF-IN,7.2
Music Brains,7.2
Show Corporation,7.2
Hiroshi Planning,7.195
WOWOW,7.1922
Yomiuri Telecasting,7.191756756756757
ImaginAsian Entertainment,7.19
Maikaze,7.1899999999999995
SME Visual Works,7.189090909090909
Cygames,7.188148148148148
Christmas Holly,7.184285714285714
Fuji TV,7.184038461538462
Kadokawa Media House,7.1820270270270266
Nippon Television Music,7.1814285714285715
Movic,7.180718562874252
Apollon,7.18
DandeLion Animation Studio,7.18
Production GoodBook,7.18
Trans Cosmos,7.18
VAP,7.18
Rakuonsha,7.17830985915493
Audio Tanaka,7.176153846153846
Mirai-Kojo,7.173333333333334
MusicRay’n,7.173333333333334
BS Asahi,7.172
PRA,7.17
Y&N Brothers,7.17
ABC Animation,7.168947368421053
Naver Webtoons,7.166666666666667
Pony Canyon Enterprise,7.163870967741936
Ultra Super Pictures,7.160869565217391
Drecom,7.16
Miyazaki Broadcasting,7.16
Tomoyasu Murata Company,7.16
syn Sophia,7.16
Hakuhodo DY Music & Pictures,7.159545454545454
Kadokawa,7.1586705202312135
TV Setouchi,7.156666666666666
Jumondo,7.155
TV Tokyo Music,7.153835616438356
DeNA,7.1505882352941175
Studio Izena,7.15
TV Saitama,7.15
OB Planning,7.147647058823529
Hololive Production,7.1466666666666665
chara-ani.com,7.1463636363636365
MediaLink Entertainment Limited,7.1425
Milestone Music Publishing,7.140000000000001
Tokai Television,7.140000000000001
Frencel,7.14
OLM,7.14
Nihon Ad Systems,7.138188976377953
KlockWorx,7.136721991701245
Egg Firm,7.1346428571428575
Bandai Namco Live Creative,7.134285714285714
Geneon Universal Entertainment,7.133761467889908
APDREAM,7.131428571428572
Studio Wombat,7.129999999999999
Sound Team Don Juan,7.127777777777777
Asahi Broadcasting,7.124468085106383
Q-Tec,7.123928571428571
King Records,7.123676470588236
Shogakukan,7.122597402597402
Sumitomo,7.121666666666667
Cyclone Graphics,7.1209999999999996
China Literature Limited,7.120689655172414
Public & Basic,7.12
Sakura Production,7.12
Kadokawa Shoten,7.1195767195767194
Studio Nue,7.118571428571428
Sony Music Communications,7.117090909090909
Enterbrain,7.117
flying DOG,7.116136363636364
Index,7.115555555555556
Infinite,7.1152173913043475
Good Smile Company,7.114186046511628
Front Wing,7.11
M.S.C,7.11
C-one,7.1080000000000005
A-Sketch,7.106923076923077
Beyond C.,7.1066666666666665
Square Enix,7.10504424778761
Kobunsha,7.105
BS11,7.104901960784313
Nitroplus,7.104285714285714
Hal Film Maker,7.103
Good Smile Film,7.1027272727272726
Yomiko Advertising,7.101774193548387
Trans Arts,7.101666666666667
TC Entertainment,7.1
Kids Station,7.09875
Magic Capsule,7.097777777777778
WAO World,7.0975
NHK Enterprises,7.094736842105263
TV Tokyo,7.09328125
Animatic,7.0925
Marubeni,7.0925
Ankama,7.09
Bridge,7.09
Image House,7.09
Raku High Student Council,7.09
Soyuzmultfilm,7.085
Meiji Seika,7.08
Plum,7.08
Showgate,7.075431034482759
Cromea,7.075
Bandai Namco Games,7.074827586206896
Shogakukan-Shueisha Productions,7.0725
CBC Television,7.070909090909091
Toyo Recording,7.07
Daume,7.0649999999999995
Wit Studio,7.0600000000000005
Bulls Eye,7.06
Saban Entertainment,7.06
Toho,7.056115702479339
Horgos Coloroom Pictures Co.,7.053333333333334
NAZ,7.053333333333334
Avex Pictures,7.050609756097561
Amino,7.05
SoftBank Creative,7.047692307692308
Studio Take Off,7.047499999999999
Omnibus Japan,7.0442857142857145
Synergy Japan,7.043333333333333
Frontier Works,7.040962962962963
Dwango,7.0408
Illumitoon Entertainment,7.04
Studio Blanc,7.04
Union Cho,7.04
Nichion,7.039545454545454
Dream Shift,7.038
MediaNet,7.036060606060606
Dentsu Tec,7.036
Studio GOONEYS,7.035
Bandai Visual,7.034944751381215
1st PLACE,7.03
Dongyang Animation,7.03
Eye Move,7.03
Kyoto Animation,7.029999999999999
StudioRF Inc.,7.029999999999999
Akita Shoten,7.028928571428572
Sotsu Music Publishing,7.026666666666666
Kitty Films,7.02625
Toho Music,7.026111111111111
Media Factory,7.025806451612903
Shinchosha,7.022
GDH,7.02
SILVER LINK.,7.02
Seasun Pictures,7.02
Tin House,7.02
XEBEC M2,7.02
Studio Jack,7.017926829268292
RAY,7.015135135135135
3xCube,7.015000000000001
Anima&Co.,7.015
TMS-Kyokuchi,7.013333333333334
10Gauge,7.01
Atlus,7.00875
Jinnan Studio,7.008461538461538
Atelier Musa,7.008333333333333
Streamline Pictures,7.007407407407407
Yomiuri Advertising,7.006818181818182
Sammy,7.006585365853659
Starchild Records,7.0063157894736845
Bandai Namco Music Live,7.005
Contents Seed,7.004444444444444
AT-X,7.003899371069182
BS-TBS,7.003333333333334
Lucent Pictures Entertainment,7.00125
Bit grooove promotion,7.0005
Aoi Studio,7
Casio Entertainment,7
KDDI,6.996666666666667
Lantis,6.992050113895217
Ltd.,6.992
Sony Music Entertainment,6.990758620689655
Marine Entertainment,6.99
Peter Pan Creation,6.99
Pony Canyon,6.987838709677419
Liber Entertainment,6.985
Dream Force,6.984444444444445
GANSIS,6.9828
Big Bang,6.9825
Radio Osaka,6.9825
Ichijinsha,6.981739130434782
Tonko House,6.98
nobishiro lab,6.98
TBS,6.9783333333333335
bilibili,6.9779569892473114
GYAO!,6.974166666666666
Diomedéa,6.970000000000001
Kinoshita Group Holdings,6.968823529411765
Rondo Robe,6.968636363636364
Marui Group,6.966923076923077
Shinshokan,6.963333333333333
CyberAgent,6.961666666666667
Pierrot,6.960588235294118
"""Im Enterprise""",6.96
Highlights Entertainment,6.96
K-Factory,6.96
Toei Animation,6.9592307692307696
Sotsu,6.958689655172414
Marvelous,6.957636363636364
AQUAPLUS,6.9575
Bandai Channel,6.957
Toho Visual Entertainment,6.956666666666667
TV Asahi,6.955546875
Front Line,6.955
gimik,6.955
MAGNET,6.954666666666666
Tohokushinsha Film Corporation,6.95375
Sunrise Music,6.953
SB Creative,6.9510000000000005
Toppan Printing,6.95
Crunchyroll,6.9472
HoriPro,6.945555555555556
Half H.P Studio,6.945089285714285
Yomiuri TV Enterprise,6.945
Docomo Anime Store,6.9423076923076925
BS Fuji,6.941451612903226
TV Aichi,6.94125
NBCUniversal Entertainment Japan,6.940375
Aubec,6.9350000000000005
Bushiroad,6.933837209302325
Sonilude,6.931764705882353
Ai Addiction,6.930625
"""Yoons Color""",6.93
International Digital Artist,6.93
Madhouse,6.92625
Fuji Creative,6.924444444444444
MiHoYoAnime,6.92
RightTracks,6.92
Anime Consortium Japan,6.919090909090909
ZERO-A,6.918333333333333
Konami Cross Media NY,6.917777777777777
Age Global Networks,6.917142857142857
Muse Communication,6.915
Happinet Pictures,6.914255319148936
Tokyo MX,6.913333333333333
LINE Corporation,6.9125
JP Room,6.91
Pazzy Entertainment,6.91
Bandai,6.90935064935065
Hokkaido Cultural Broadcasting,6.9071428571428575
Bandai Namco Entertainment,6.906875
Bushiroad Move,6.906666666666666
Bandai Namco Arts,6.904230769230769
Amusement Media Academy,6.903333333333333
Studio Tulip,6.901428571428571
famima.com,6.9
Kamikaze Douga,6.898333333333333
INCS toenter,6.897142857142857
Nihikime no Dozeu,6.895
Sanyo Bussan,6.895
TYO Animations,6.8925
Studio Moriken,6.891666666666667
AbemaTV,6.89
Heroz,6.89
Information-technology Promotion Agency,6.89
Barnum Studio,6.885
Crest,6.883333333333333
Robot Communications,6.875
Cospa,6.873846153846154
Nagoya Broadcasting Network,6.870526315789474
AG-ONE,6.87
Bishop,6.87
DMM.com Labo,6.87
GRANTdesign,6.87
Libre,6.87
TIS,6.87
Imagine,6.86377358490566
Flex Comix,6.863333333333333
comico,6.8625
AMG MUSIC,6.86
Aquamarine,6.86
Studio Zain,6.859999999999999
Beijing Enlight Pictures,6.8575
Glovision,6.856829268292683
BIGLOBE,6.855555555555555
Bandai Namco Rights Marketing,6.855
Evil Line Records,6.8525
Medicos Entertainment,6.852
Genco,6.851913580246913
DMM pictures,6.850606060606061
Epicross,6.85
SynergySP,6.85
dugout,6.849
Koei,6.848888888888889
Asahi Shimbun,6.846
DMM Music,6.843333333333334
Tokyo Movie Shinsha,6.8428125
NetEase,6.84
Telecom Animation Film,6.84
d-rights,6.835588235294118
Fukuoka Broadcasting System,6.835
Miyagi Television Broadcasting,6.835
Sapporo Television Broadcasting,6.835
Shizuoka Daiichi Television,6.835
Konami,6.834545454545455
TYO,6.83125
Heiwa,6.83
KBS Kyoto,6.83
Alchemist,6.826666666666667
Shufunotomo,6.826666666666667
Production Ace,6.826666666666666
Echoes,6.825555555555556
Netflix,6.8225
Micro House,6.82
Moonstone Cherry,6.82
Remic,6.82
Yokohama Animation Lab,6.82
MAGES.,6.818846153846154
Shaft,6.8185714285714285
Big West,6.817692307692307
Knack Productions,6.8100000000000005
Hobibox,6.806666666666667
Magilm Pictures,6.805
Sunrise,6.8031250000000005
BS NTV,6.8
Hisashishi Videos,6.8
JM Animation,6.8
Pioneer LDC,6.799090909090909
Fields,6.7973333333333334
Mobcast,6.796666666666667
Shin-Ei Animation,6.795
Buzz Wave,6.79
Culture Entertainment,6.79
Idol,6.79
Shimogumi,6.79
f4samurai,6.79
AC-Bu,6.786666666666667
Toranoana,6.786
Tencent Animation & Comics,6.784565217391305
BS Japan,6.784
DAX Production,6.781989528795812
ANIK,6.78
North Stars Pictures,6.78
Manga Productions,6.779999999999999
Nippon Cultural Broadcasting,6.779999999999999
U-NEXT,6.776666666666666
Tokyo FM Broadcasting,6.77
Media Rings,6.766666666666667
Cosmic Ray,6.765555555555555
Studio Saki Makura,6.76
Studio Tron,6.76
Sony Pictures Entertainment,6.759166666666666
Gigno Systems,6.755
Harmony Gold,6.75375
Actas,6.75
NADA Holdings,6.75
Saban Brands,6.75
Wargaming Japan,6.75
animate,6.75
CCTV Animation,6.745
81 Produce,6.7444999999999995
Avex Technologies,6.74
CREi,6.74
KLab,6.74
On-Lead,6.737
Overlap,6.731
"""its""",6.73
DIVE II Entertainment,6.73
Heewon Entertainment,6.73
Mime Corporation,6.73
eigoMANGA,6.73
Crunchyroll SC Anime Fund,6.7299999999999995
Gallop,6.726666666666667
Haoliners Animation League,6.724
Strawberry Meets Pictures,6.7225
FuRyu,6.720769230769231
Chrono Gear Creative,6.72
iQIYI,6.72
Nelke Planning,6.716666666666667
Grooove,6.714444444444444
CyberStep,6.71
Daiichikosho,6.71
Top Marshal,6.71
Broccoli,6.7092
Pashmina,6.707272727272727
Tablier Communications,6.702500000000001
Nippon Columbia,6.701495327102804
My Theater D.D.,6.7011111111111115
Baku Enterprise,6.7
G holdings,6.7
HOBBY BASE Yellow Submarine,6.7
Sony Interactive Entertainment,6.699999999999999
NichiNare,6.697777777777778
Legs,6.694
i0+,6.693846153846154
Studio Dadashow,6.69
Chugai Mining,6.688571428571429
Imagica,6.687777777777778
BMG Japan,6.686
Lune Pictures,6.681940298507462
Hochi Shimbun,6.68
Amber Film Works,6.678
Toshiba Digital Frontiers,6.675000000000001
Tsukuru no Mori,6.675000000000001
Audio Planning U,6.673333333333333
Ginga Ya,6.673333333333333
Happinet,6.671538461538462
Meruhensha,6.67
Tatsunoko Production,6.665
Hasbro,6.66
Ajia-Do,6.658333333333333
Studio Mausu,6.657638888888889
Office Nobu,6.654999999999999
Level-5,6.653333333333333
Kino Production,6.65
CyberConnect2,6.648
Mellow Head,6.6463636363636365
Toshiba Entertainment,6.6433333333333335
EDGE,6.642
Ashi Production,6.640714285714286
Penta Show Studios,6.640000000000001
Victor Entertainment,6.638405797101449
Cookie Jar Entertainment,6.635
MediaNet Pictures,6.635
OLE-M,6.635
Hawkeye,6.63
Image Kei,6.63
Zero-G Room,6.63
Colored Pencil Animation,6.627142857142857
Avex Entertainment,6.626935483870968
DMM.com,6.626666666666667
G&G Entertainment,6.626666666666667
AQUA ARIS,6.625
AIC,6.623833333333334
Mary Jane,6.621666666666667
APPP,6.62
Ai ga areba Daijobu,6.62
Pierrot Plus,6.62
Project Team Sarah,6.62
Akatsuki,6.6175
Group TAC,6.615555555555556
ADK Emotions,6.613333333333333
Advance Syakujii,6.61
Nihon Keizai Koukokusha,6.61
SKY PerfecTV!,6.61
Shizuoka Asahi Television,6.61
Studio 1st,6.61
arma bianca,6.61
Oh! Production,6.609999999999999
RX-RECORDS,6.609999999999999
UK.PROJECT INC.,6.609999999999999
Sanrio,6.608604651162791
Futabasha,6.603125
Kanon Sound,6.601666666666667
Adores,6.6
D-techno,6.6
QREAZY,6.6
Trick Block,6.6
Zexcs,6.6
Eswood,6.598
JY Animation,6.596666666666667
XFLAG,6.5964285714285715
Shogakukan Music & Digital Entertainment,6.595
Toei Video,6.593823529411765
Khara,6.593333333333334
Cloud Art,6.59
Hayakawa Shobou,6.59
Studio LAN,6.586666666666667
Tele-Cartoon Japan,6.58
Takeshobo,6.574
Tsuchida Productions,6.573333333333333
Maxilla,6.57
Nintendo of America,6.57
P.A. Works,6.57
Sony Pictures Worldwide Acquisitions,6.57
Tencent Games,6.57
GoGo Visual Planning,6.565
Kyodo Eiga,6.565
GEN Productions,6.5649999999999995
Digital Media Lab,6.5600000000000005
TEAM Entertainment Inc.,6.5600000000000005
Xebec,6.555714285714286
Youku,6.553636363636364
Disney Platform Distribution,6.553333333333334
Haneda xR Studio,6.55
Qiyuan Yinghua,6.55
World Cosplay Summit,6.55
Xing,6.55
Yamasa,6.55
Sun TV,6.548333333333334
Bouncy,6.547777777777778
Hurray!,6.545
Shanghai Foch Film and TV Culture Investment,6.545
Office ENDLESS,6.54
Studio Kai,6.54
Cotton Doll,6.5377777777777775
Triangle Staff,6.536666666666667
Mixer,6.533333333333333
Studio Fantasia,6.533333333333333
E&G Films,6.53
Bandai Namco Online,6.529999999999999
