cleaned_category,score
Medicrie,6.06
Emon,6.0575
Valkyria,6.054285714285714
Universal Music Japan,6.046666666666667
DMM.futureworks,6.045999999999999
Craftar Studios,6.045
ChiChinoya,6.040666666666667
Baramiri,6.04
Walt Disney Japan,6.04
Nihon Eizo,6.035
Alpha Group Co. Ltd.,6.034545454545454
Usagi Ou,6.03
CherryLips,6.023333333333333
Audio Graphics Institute,6.02
Dynamo Pictures,6.02
MAZRI,6.02
Mistral Japan,6.02
Green Bunny,6.01972972972973
Mushi Production,6.016
Cammot,6.013333333333334
Digiturbo,6.01
I was a Ballerina,6.01
Kakao Japan,6.006666666666667
Schoolzone,6.005
LIDENFILMS,6.0042857142857144
Project No.9,6
San-X,6
Silky’s,6
EMI,5.998333333333333
Tavac,5.995
TV Asahi Music,5.9925
Rambling Records,5.992
King Bee,5.99
Network,5.986666666666666
Amumo,5.984999999999999
Links,5.98
P Productions,5.98
Seven,5.98
StarLink,5.98
"""Genei""",5.97
Artmic,5.97
Miraicha Records,5.97
BeSTACK,5.966666666666667
Tohan Corporation,5.965
Studio NOIX,5.96
TriF Studio,5.96
Himajin Planning,5.952727272727273
Animac,5.9525
Ascendent Animation,5.952
Japan Home Video,5.95
indigo line,5.95
m.o.e.,5.944615384615385
Nobel,5.94
Anime Beans,5.932857142857143
Fan Company,5.93
A-Craft,5.9225
Indeprox,5.916666666666667
Picante Circus,5.908571428571428
Digital Works,5.9073493975903615
Discovery,5.900909090909091
Felix Film,5.9
Oddjob,5.9
Comic Animation,5.89
Ichigo Animation,5.89
Picture Magic,5.89
Tama Production,5.89
Shanghai Animation Film Studio,5.886666666666667
Soft Garage,5.884166666666666
Tencent Japan,5.883333333333334
Lapis,5.88
Souten no Ken,5.88
Wako Productions,5.88
P.I.C.S.,5.878333333333334
Brave Hearts,5.87
Sanyo,5.867692307692308
Toho Interactive Animation,5.865
Smile Company,5.86
Creators in Pack,5.85
Fanworks,5.846666666666667
dwarf,5.84
Walkers Company,5.83
Otogi Production,5.822
HeART-BIT,5.82
SPO Entertainment,5.82
Panasonic Digital Contents,5.815
Coastline Animation Studio,5.8149999999999995
Gakken Eigakyoku,5.8149999999999995
Topcraft,5.8100000000000005
Milky Cartoon,5.806666666666667
2:10 AM Animation,5.8
Filmlink International,5.8
Shinkuukan,5.8
Blue Eyes,5.7940000000000005
CHANCE iN,5.79
Kadokawa Haruki Corporation,5.79
MI,5.79
Namisokan,5.79
Samsung,5.79
BOMB! CUTE! BOMB!,5.786666666666667
Studio Zealot,5.78
EXNOA,5.77
Kenji Studio,5.77
Studio 9 Maiami,5.77
1theK,5.765000000000001
AOMG,5.765000000000001
Future Animation Factory,5.75
Maru Production,5.75
Lemon Heart,5.748888888888889
Hipland Music Corporation,5.745
Genie Music,5.74
Orchid Seed,5.73
Pie in the sky,5.73
FUJIYAMA PROJECT JAPAN,5.72
Daiei,5.719166666666666
Angelfish,5.713333333333333
Echo,5.71
Tokyo Kids,5.71
KENMedia,5.705
Itasca Studio,5.7
Innocent Grey,5.699999999999999
BEAM Entertainment,5.6899999999999995
Stray Cats,5.6899999999999995
AniMan,5.684545454545455
CoMix Wave Films,5.680769230769231
LinkedBrain,5.68
Sankyo Planning,5.68
Mirai Records,5.67
Smiral Animation,5.666666666666667
Creative Power Entertaining,5.65
Crown Records,5.65
KBS,5.6466666666666665
Takara,5.645
Visual 80,5.6433333333333335
Coolism Productions,5.63
Trash Studio,5.63
Geidai Animation,5.627
ACiD FiLM,5.62
Liberty Animation Studio,5.62
Kyotoma,5.615
Asura Film,5.61
COMICSMART,5.61
Comstock,5.61
Nakamura Production,5.61
S-TAR7,5.61
Studio Curtain,5.61
Typhoon Graphics,5.61
"""YUKES""",5.59
COLOPL,5.58
D.A.S.T.,5.58
Greenwood,5.57
Lambert,5.5600000000000005
Zack Promotion,5.5600000000000005
GOON TRAX,5.54
Sega Interactive,5.54
Kaibutsu,5.53
Grouper Productions,5.52
Studio PuYUKAI,5.52
Mousou Jitsugen Media,5.51
RoiVisual,5.51
Universal Entertainment,5.51
Studio Junio,5.505000000000001
Seta Corporation,5.503333333333334
Azumaker,5.5
Virgin Babylon Records,5.491428571428571
Poncotan,5.49
Inc.,5.479230769230769
Yamamura Animation,5.479230769230769
Kojiro Shishido Animation Works,5.470000000000001
project lights,5.47
Sanctuary,5.466666666666667
Jam,5.46
Datam Polystar,5.452500000000001
Hokkaido Azmacy,5.45
Anime R,5.446666666666667
Nichiei Agency,5.44
Hobi Animation,5.43
Five Ways,5.4189655172413795
Project Team Eikyuu Kikan,5.41
Harappa,5.39
Minami Machi Bugyousho,5.38
Studio Matrix,5.38
Calf Studio,5.36
Darts,5.355
Video Market,5.3533333333333335
Nexon,5.35
Space Shower Music,5.35
The Berich,5.35
Space Neko Company,5.348571428571429
Shinyusha,5.346666666666667
Studio WHO,5.34
Agent 21,5.336666666666667
The National Film Center Japan,5.3116666666666665
Studio Signal,5.31
"""Steve N Steven""",5.3
Studio Kuma,5.3
Lastrum Music,5.295
P-Vine Records,5.295
Pastel,5.26
Byakuya Shobo,5.25
Dentsu Eigasha Tokyo,5.25
Decovocal,5.246666666666666
Solid Vox,5.21
Quick Corporation,5.2
Langmaor,5.19
Ministry of the Navy,5.17
Studio OX,5.15
AIR AGENCY,5.135
China Animation Characters,5.13
Ima Group,5.13
NHN PlayArt,5.13
Next,5.13
Studio AWAKE,5.13
Monomusik,5.125
Allure,5.105
Sakura Color Film,5.09
CTW,5.08
FUTURE LEAP,5.08
Wolfsbane,5.08
Yamato Works,5.08
Media Station,5.0649999999999995
Terada Mokei,5.048
Studio G-1Neo,5.03
Bitgang,5
Geijutsu Eigasha,4.98
Presidio,4.98
Studio 4°C,4.98
Zelico Film,4.98
Mirai Film,4.97
All Products,4.96
Yili Animation Studio,4.95
Studio Unicorn,4.93
Quatre Stella,4.91
KOO-KI,4.9
Studio Deva Loka,4.88
Studio Binzo,4.875
Ki/oon Music,4.86
Studio Kikan,4.855
Assez Finaud Fabric,4.83
Anima,4.8100000000000005
Anon Pictures,4.8100000000000005
Glams,4.7
Kujou-kun no Bonnou wo Mimamoru-kai,4.67
Idea Factory,4.6692307692307695
Asgard,4.62
Natural High,4.5975
Takun Manga Box,4.572727272727273
Primastea,4.57
Imagica West,4.4
Shanghai Jump Network Technology,4.37
RAMS,4.33
G-mode,4.3149999999999995
Lute,4.31
Obtain Future,4.213333333333334
The Village of Marchen,4.21
Hiro Media,4.15
Kuri Jikken Manga Kobo,4.083333333333333
Spectrum,3.96
Animation 21,3.76
CUCURI,3.3
RME,3.2
UM Productions,3.1
Royal Limousine,2.91
Design Factory,2.22
